nameCn,nameEn,objectTypeName,description
NVIDIA Corporation,,公司,Official company/product sources confirm NVIDIA data-center GPU and AI accelerator products.
Nan Ya Plastics Corporation,,公司,Official Nan Ya Plastics electronic materials page confirms copper foils and electronic materials.
Nan Ya Printed Circuit Board Corporation,,公司,Official Nan Ya PCB site confirms advanced IC substrate and PCB technology.
Nanya Technology Corporation,,公司,Official Nanya sources confirm DDR5 and LPDDR5/5X DRAM products; SEMI WFF lists Nanya spending.
Navitas Semiconductor Corporation,,公司,Official Navitas pages confirm GaNFast power ICs/GaNFET products.
Nexchip Semiconductor Corporation,,公司,SEMI WFF lists Nexchip foundry capacity; public company references identify it as a foundry.
"Nitto Boseki Co., Ltd.",,公司,Official Nittobo pages confirm electronic materials glass cloth and NE-glass.
"OMNIVISION Technologies, Inc.",,公司,Official OmniVision pages confirm CMOS image sensor products.
Powerchip Semiconductor Manufacturing Corporation,,公司,SEMI WFF lists PSMC foundry capacity.
Powertech Technology Inc.,,公司,"Official PTI pages confirm chip probing, packaging and testing services."
"ROHM Co., Ltd.",,公司,"Official ROHM pages confirm SiC MOSFET, SiC Schottky barrier diode and GaN HEMT products."
Rapidus Corporation,,公司,SEMI WFF lists Rapidus spending.
Renesas Electronics Corporation,,公司,Official Renesas pages confirm GaN power discrete products.
SEH America Inc.,,公司,Official SEH America pages confirm silicon wafer products.
"SHINKO ELECTRIC INDUSTRIES CO., LTD.",,公司,Official Shinko pages confirm semiconductor package substrates and IC assembly.
SK hynix Inc.,,公司,"Official SK hynix sources confirm DRAM, HBM3E/HBM4 and NAND-storage product portfolio; SEMI WFF lists SK Hynix memory capacity."
STMicroelectronics N.V.,,公司,SEMI WFF lists STMicroelectronics capacity.
SUMCO Corporation,,公司,Official SUMCO pages confirm silicon wafer products.
"Samsung Electro-Mechanics Co., Ltd.",,公司,Official Samsung Electro-Mechanics pages confirm MLCC and package substrate products.
Samsung Electronics Co. Ltd.,,公司,"Official Samsung Semiconductor sources confirm DRAM, HBM and NAND/V-NAND products; SEMI WFF lists Samsung memory capacity."
Semiconductor Manufacturing International Corporation,,公司,SEMI WFF lists SMIC capacity/spending.
"Shin-Etsu Chemical Co., Ltd.",,公司,Official Shin-Etsu pages confirm semiconductor-grade silicon wafers and SOI wafers.
Siemens EDA,,公司,Official Siemens pages confirm IC design and verification EDA portfolio.
Siltronic AG,,公司,Official Siltronic pages confirm silicon wafer products.
Sony Semiconductor Solutions Corporation,,公司,SEMI WFF lists Sony semiconductor spending.
"Sumitomo Metal Mining Co., Ltd.",,公司,Official SMM page confirms rolled copper foil.
"Synopsys, Inc.",,公司,Official Synopsys pages confirm EDA and semiconductor IP products.
TDK Corporation,,公司,Official TDK product pages confirm MLCC products.
TDK InvenSense,,公司,Official TDK InvenSense pages confirm 6-axis motion sensors and MEMS microphones.
Taiwan Glass Industry Corporation,,公司,Official Taiwan Glass pages confirm glass fibers for electronic application.
Taiwan Semiconductor Manufacturing Company Limited,,公司,SEMI WFF lists TSMC as a leading capacity/spending company.
"Teradyne, Inc.",,公司,Official Teradyne pages confirm semiconductor test systems.
Texas Instruments Incorporated,,公司,SEMI WFF lists Texas Instruments capacity/spending.
Tokyo Electron Limited,,公司,Official TEL pages confirm wafer probers.
United Microelectronics Corporation,,公司,SEMI WFF lists UMC capacity.
"Vishay Intertechnology, Inc.",,公司,Official Vishay pages confirm Schottky rectifiers and TVS protection diodes.
Western Digital Corporation,,公司,Official Western Digital sources confirm BiCS 3D NAND collaboration/products; SEMI WFF lists Kioxia/WD flash capacity.
Winbond Electronics Corporation,,公司,Official Winbond sources confirm QSPI NOR and code-storage flash products.
"Wolfspeed, Inc.",,公司,Official Wolfspeed pages confirm SiC MOSFET and power products.
YAGEO Corporation,,公司,Official YAGEO pages confirm multilayer ceramic capacitor products.
"Yangtze Memory Technologies Co., Ltd.",,公司,Official YMTC sources confirm Xtacking 3D NAND flash technology/products; SEMI WFF lists YMTC spending.
onsemi,,公司,"Official onsemi pages confirm MOSFET, IGBT, SiC, diode and power module products."
