nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value
Beijing Yandong (YDME) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,150,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Beijing Yandong (YDME),,
Beijing Yandong (YDME) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,535,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Beijing Yandong (YDME),,
Bosch 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,962.2,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Bosch,,
CR Microelectronics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,837,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CR Microelectronics,,
CS Connected 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CS Connected,,
CST Global 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CST Global,,
CXMT (ChangXin Memory Technologies) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,800,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CXMT (ChangXin Memory Technologies),3200,150
CXMT (ChangXin Memory Technologies) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,6005,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CXMT (ChangXin Memory Technologies),,
CanSemi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,380,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CanSemi,,
CanSemi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1066,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CanSemi,,
Canon 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,100,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Canon,,
Changzhou Chemsemi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,72,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Changzhou Chemsemi,,
Chongqing Xinlian Microelectronics (XLMEC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Chongqing Xinlian Microelectronics (XLMEC),,
Chongqing Xinlian Microelectronics (XLMEC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1550,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Chongqing Xinlian Microelectronics (XLMEC),,
Chongqing Xinling Microelectronics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,100,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Chongqing Xinling Microelectronics,,
Coherent (was II-VI Incorporated) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),4,600
Coherent (was II-VI Incorporated) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,259.2,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Coherent (was II-VI Incorporated),,
CrayoNano AS 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,CrayoNano AS,,
Crystal IS 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Crystal IS,,
DB HiTek (was Dongbu Hi Tek) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,DB HiTek (was Dongbu Hi Tek),,
DB HiTek (was Dongbu Hi Tek) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,56,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,DB HiTek (was Dongbu Hi Tek),,
Dalian Universal Semiconductors 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Dalian Universal Semiconductors,,
Dalian Xinguan Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Dalian Xinguan Technology,,
DiCon 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,DiCon,,
"Dowa Electronics Materials Co., Ltd. 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Dowa Electronics Materials Co., Ltd.",,
Dynax Semiconductor Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Dynax Semiconductor Inc.,,
EYEQ Lab 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,EYEQ Lab,,
Electronics Industry Public Company (EIC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Electronics Industry Public Company (EIC),,
Enablence Technologies 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Enablence Technologies,,
Enkris Semiconductor 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Enkris Semiconductor,,
Ennostar Corporation 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Ennostar Corporation,,
EpiWorld International 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,EpiWorld International,,
Epiel 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Epiel,,
Episil Technologies Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Episil Technologies Inc.,,
Episil-Precision Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Episil-Precision Inc.,,
EverBright Photonics 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,EverBright Photonics,,
Everspin Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Everspin Technology,,
Everspin Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,55,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Everspin Technology,,
FLCT Communication Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,FLCT Communication Technology,,
FT1 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,35,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,FT1,,
Ferdinand-Braun-Institut fur Hochfrequenztechnik 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Ferdinand-Braun-Institut fur Hochfrequenztechnik,,
First Sensor AG 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,First Sensor AG,,
Founder IC (Founder Microelectronics International (FMIC)) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Founder IC (Founder Microelectronics International (FMIC)),,
Founder IC (Founder Microelectronics International (FMIC)) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,85,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Founder IC (Founder Microelectronics International (FMIC)),,
Foxconn / Hon Hai 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Foxconn / Hon Hai,,
Fuji Electric 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,174.6,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Fuji Electric,,
Fujian Jin Hua Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Fujian Jin Hua Semiconductor,,
GF (Globalfoundries) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,315,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,GF (Globalfoundries),,
GF (Globalfoundries) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1077,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,GF (Globalfoundries),,
GTA Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,508,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,GTA Semiconductor,,
GTX Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1550,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,GTX Semiconductor,,
GlobalWafers 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,160,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,GlobalWafers,,
Green InnoCore 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,90,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Green InnoCore,,
Haiqian Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,105,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Haiqian Semiconductor,,
Hamamatsu Photonics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hamamatsu Photonics,,
HangZhou HFC Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,800,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,HangZhou HFC Semiconductor,,
Hangzhou Fullsemi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,296,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hangzhou Fullsemi,,
Hangzhou Qx-semi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hangzhou Qx-semi,,
Hewlett-Packard Company 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,8,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hewlett-Packard Company,,
Hewlett-Packard Company 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hewlett-Packard Company,,
Hua Hong Semiconductor 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Hong Semiconductor,0,200
Hua Hong Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2518,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Hong Semiconductor,,
Hua Li Microelectronics (HLMC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,1400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Li Microelectronics (HLMC),1000,500
Hua Li Microelectronics (HLMC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,3774,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Hua Li Microelectronics (HLMC),,
IMEC 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,110,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,IMEC,,
IMEC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1000,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,IMEC,,
Infineon 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,565,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Infineon,740,20
Infineon 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2406.7,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Infineon,,
InnoScience Inc. 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,84.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,InnoScience Inc.,,
Intel 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,615,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Intel,2870,1415
Intel 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,7140,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Intel,,
JTC Corporation 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,42,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,JTC Corporation,,
"Jiangsu JieJie Microelectronics Co.,Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,101.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Jiangsu JieJie Microelectronics Co.,Ltd.",,
Jiangxi Yuhongjin Material Technology (YHJ) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,200,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Jiangxi Yuhongjin Material Technology (YHJ),,
Kioxia/WD (was Flash Alliance) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2348,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Kioxia/WD (was Flash Alliance),,
"LAPIS Semiconductor Co, Ltd 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,268,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"LAPIS Semiconductor Co, Ltd",,
Lakeside Optoelectronics Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,38,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Lakeside Optoelectronics Technology,,
"Macronix International Co., Ltd. (MXIC) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,222,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Macronix International Co., Ltd. (MXIC)",,
Microchip 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,241.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Microchip,,
Micron 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,2745,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Micron,2580,8175
Micron 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,9763,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Micron,,
Mitsubishi Electric 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,360,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Mitsubishi Electric,,
NEXIC Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,NEXIC Technology,,
Nanya Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,630,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nanya Technology,210,460
Nanya Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,344,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nanya Technology,,
Nexchip 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,150,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexchip,,
Nexchip 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,960,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexchip,,
Nexperia 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,77.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexperia,,
Ningbo Zhongxin Semi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Ningbo Zhongxin Semi,,
Odyssey 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Odyssey,,
OnMicro Electronics (HunterSun) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,OnMicro Electronics (HunterSun),,
Optimal Perenni 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,50,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Optimal Perenni,,
Optimal Perenni 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,3010,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Optimal Perenni,,
Pengxinwei Semiconductor (PXW Semi) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pengxinwei Semiconductor (PXW Semi),,
Pengxinwei Semiconductor (PXW Semi) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pengxinwei Semiconductor (PXW Semi),,
Pensun Technology (PST Semi) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pensun Technology (PST Semi),,
"Polar Semiconductor, Inc (PSI) (Polarfab) 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,30,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Polar Semiconductor, Inc (PSI) (Polarfab)",,
"Polar Semiconductor, Inc (PSI) (Polarfab) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,225,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Polar Semiconductor, Inc (PSI) (Polarfab)",,
Poseico 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Poseico,,
