facility_record_id,facility_name,company_name,facility_object_type,metric_name,metric_period,metric_value,currency_or_unit,related_object_type,source_doc,source_sheet,source_date,adopted,notes
3517,ABB Semiconductor - Lenzburg 3,ABB Semiconductor,晶圆制造工厂,current_full_capacity,current,45000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3517.
3517,ABB Semiconductor - Lenzburg 3,ABB Semiconductor,晶圆制造工厂,capacity_200mm_equivalent,current,25312.5,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3517.
3517,ABB Semiconductor - Lenzburg 3,ABB Semiconductor,晶圆制造工厂,cleanroom_area,current,27000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3517.
3517,ABB Semiconductor - Lenzburg 3,ABB Semiconductor,晶圆制造工厂,project_equipment_cost,project,25.2,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 3517.
897,ABLIC Inc. - #B,ABLIC Inc.,研发中试工厂,current_full_capacity,current,5000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 897.
897,ABLIC Inc. - #B,ABLIC Inc.,研发中试工厂,capacity_200mm_equivalent,current,2812.5,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 897.
898,ABLIC Inc. - #A,ABLIC Inc.,晶圆制造工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 898.
898,ABLIC Inc. - #A,ABLIC Inc.,晶圆制造工厂,capacity_200mm_equivalent,current,11250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 898.
898,ABLIC Inc. - #A,ABLIC Inc.,晶圆制造工厂,project_total_cost,project,10,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 898.
6493,Acenpower - Acenpower 6-inch Line,Acenpower,晶圆制造工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6493.
6493,Acenpower - Acenpower 6-inch Line,Acenpower,晶圆制造工厂,capacity_200mm_equivalent,current,11250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6493.
6493,Acenpower - Acenpower 6-inch Line,Acenpower,晶圆制造工厂,project_total_cost,project,765,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6493.
6493,Acenpower - Acenpower 6-inch Line,Acenpower,晶圆制造工厂,project_construction_cost,project,470,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6493.
6494,Acenpower - Acenpower 8-inch SiC Line,Acenpower,晶圆制造工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6494.
6494,Acenpower - Acenpower 8-inch SiC Line,Acenpower,晶圆制造工厂,capacity_200mm_equivalent,current,20000,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6494.
6494,Acenpower - Acenpower 8-inch SiC Line,Acenpower,晶圆制造工厂,project_equipment_cost,project,4.8,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 6494.
2062,ACSMC - Fab 1,ACSMC,晶圆制造工厂,current_full_capacity,current,15000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2062.
2062,ACSMC - Fab 1,ACSMC,晶圆制造工厂,capacity_200mm_equivalent,current,8437.5,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2062.
2062,ACSMC - Fab 1,ACSMC,晶圆制造工厂,project_total_cost,project,20,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2062.
2062,ACSMC - Fab 1,ACSMC,晶圆制造工厂,project_construction_cost,project,4,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2062.
25,Advanced Microelectronic Products Inc. (AMPI) - Fab 1,Advanced Microelectronic Products Inc. (AMPI),晶圆制造工厂,current_full_capacity,current,54000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 25.
25,Advanced Microelectronic Products Inc. (AMPI) - Fab 1,Advanced Microelectronic Products Inc. (AMPI),晶圆制造工厂,capacity_200mm_equivalent,current,30375,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 25.
25,Advanced Microelectronic Products Inc. (AMPI) - Fab 1,Advanced Microelectronic Products Inc. (AMPI),晶圆制造工厂,project_equipment_cost,project,30,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 25.
5110,Advanced Ultraviolet Optoelectronics - Luan UV LED fab,Advanced Ultraviolet Optoelectronics,外延工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5110.
5110,Advanced Ultraviolet Optoelectronics - Luan UV LED fab,Advanced Ultraviolet Optoelectronics,外延工厂,capacity_200mm_equivalent,current,1250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5110.
5110,Advanced Ultraviolet Optoelectronics - Luan UV LED fab,Advanced Ultraviolet Optoelectronics,外延工厂,project_total_cost,project,25,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5110.
5110,Advanced Ultraviolet Optoelectronics - Luan UV LED fab,Advanced Ultraviolet Optoelectronics,外延工厂,project_construction_cost,project,5,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5110.
5077,Agiltron - Woburn (shared with Sensera),Agiltron,晶圆制造工厂,current_full_capacity,current,700,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5077.
5077,Agiltron - Woburn (shared with Sensera),Agiltron,晶圆制造工厂,capacity_200mm_equivalent,current,393.75,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5077.
5077,Agiltron - Woburn (shared with Sensera),Agiltron,晶圆制造工厂,cleanroom_area,current,5000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5077.
5077,Agiltron - Woburn (shared with Sensera),Agiltron,晶圆制造工厂,project_total_cost,project,17,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5077.
5077,Agiltron - Woburn (shared with Sensera),Agiltron,晶圆制造工厂,project_construction_cost,project,11,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 5077.
3797,AIST - TIA-MEMS Line (Building 3D),AIST,研发中试工厂,current_full_capacity,current,1500,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3797.
3797,AIST - TIA-MEMS Line (Building 3D),AIST,研发中试工厂,capacity_200mm_equivalent,current,1500,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3797.
3797,AIST - TIA-MEMS Line (Building 3D),AIST,研发中试工厂,project_total_cost,project,33,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3797.
3797,AIST - TIA-MEMS Line (Building 3D),AIST,研发中试工厂,project_construction_cost,project,13,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3797.
3867,AIST - TIA-Power Electronics Line (inside AIST-Centra),AIST,研发中试工厂,current_full_capacity,current,500,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3867.
3867,AIST - TIA-Power Electronics Line (inside AIST-Centra),AIST,研发中试工厂,capacity_200mm_equivalent,current,500,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3867.
3867,AIST - TIA-Power Electronics Line (inside AIST-Centra),AIST,研发中试工厂,project_total_cost,project,18,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3867.
3867,AIST - TIA-Power Electronics Line (inside AIST-Centra),AIST,研发中试工厂,project_construction_cost,project,8,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3867.
1782,AIST - Super Clean Room,AIST,研发中试工厂,current_full_capacity,current,5000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1782.
1782,AIST - Super Clean Room,AIST,研发中试工厂,capacity_200mm_equivalent,current,11250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1782.
1782,AIST - Super Clean Room,AIST,研发中试工厂,cleanroom_area,current,48438,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1782.
1782,AIST - Super Clean Room,AIST,研发中试工厂,project_total_cost,project,275,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1782.
1782,AIST - Super Clean Room,AIST,研发中试工厂,project_construction_cost,project,65,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1782.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,current_full_capacity,current,6000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,capacity_200mm_equivalent,current,3375,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,cleanroom_area,current,26000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,facility_size,current,120000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,project_total_cost,project,58,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
3401,"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",Akoustis,晶圆制造工厂,project_construction_cost,project,40,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3401.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,current_full_capacity,current,500,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,capacity_200mm_equivalent,current,500,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,cleanroom_area,current,13000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,facility_size,current,43000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,project_total_cost,project,22,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6235,Aledia - Echirolles R&D and HQ,Aledia,外延工厂,project_construction_cost,project,10,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6235.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,current_full_capacity,current,22000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,capacity_200mm_equivalent,current,22000,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,cleanroom_area,current,68900,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,facility_size,current,218500,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,project_total_cost,project,150,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,project_construction_cost,project,70,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 6236.
6236,Aledia - Champagnier (300mm),Aledia,外延工厂,project_equipment_cost,project,80,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 6236.
2196,Alphion Corporation - Princeton Junction,Alphion Corporation,晶圆制造工厂,current_full_capacity,current,1000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2196.
2196,Alphion Corporation - Princeton Junction,Alphion Corporation,晶圆制造工厂,capacity_200mm_equivalent,current,250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2196.
2196,Alphion Corporation - Princeton Junction,Alphion Corporation,晶圆制造工厂,project_total_cost,project,20,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2196.
2196,Alphion Corporation - Princeton Junction,Alphion Corporation,晶圆制造工厂,project_construction_cost,project,4,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2196.
3486,"Alps Electric Co., Ltd. - Nagaoka Plant","Alps Electric Co., Ltd.",晶圆制造工厂,current_full_capacity,current,30000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3486.
3486,"Alps Electric Co., Ltd. - Nagaoka Plant","Alps Electric Co., Ltd.",晶圆制造工厂,capacity_200mm_equivalent,current,16875,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 3486.
3486,"Alps Electric Co., Ltd. - Nagaoka Plant","Alps Electric Co., Ltd.",晶圆制造工厂,project_equipment_cost,project,2.4,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Project Spending,2026-06-25,yes,SEMI WFF Project Spending record 3486.
486,Amphenol Advanced Sensors - Amphenol Advanced Sensors,Amphenol Advanced Sensors,晶圆制造工厂,current_full_capacity,current,2400,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 486.
486,Amphenol Advanced Sensors - Amphenol Advanced Sensors,Amphenol Advanced Sensors,晶圆制造工厂,capacity_200mm_equivalent,current,600,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 486.
1875,ams-OSRAM - Fab 2  (was OSRAM),ams-OSRAM,外延工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1875.
1875,ams-OSRAM - Fab 2  (was OSRAM),ams-OSRAM,外延工厂,capacity_200mm_equivalent,current,11250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1875.
1875,ams-OSRAM - Fab 2  (was OSRAM),ams-OSRAM,外延工厂,cleanroom_area,current,35521,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1875.
1875,ams-OSRAM - Fab 2  (was OSRAM),ams-OSRAM,外延工厂,project_total_cost,project,40,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1875.
2420,ams-OSRAM - Fab 3 expansion (was OSRAM),ams-OSRAM,外延工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2420.
2420,ams-OSRAM - Fab 3 expansion (was OSRAM),ams-OSRAM,外延工厂,capacity_200mm_equivalent,current,11250,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2420.
2420,ams-OSRAM - Fab 3 expansion (was OSRAM),ams-OSRAM,外延工厂,project_total_cost,project,40,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2420.
2419,ams-OSRAM - Penang PEN31 (was OSRAM),ams-OSRAM,外延工厂,current_full_capacity,current,20000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2419.
