nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",,晶圆制造工厂,"Akoustis 的 STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab，位于 Canandaigua, New York, 美国。",3401,晶圆厂，中试线，研发,In production,Canandaigua,New York,美国,美洲,NA,5450 Campus Drive,http://www.akoustis.com/,代工/MEMS,MEMS,"Si-based MEMS, MEMS foundry; single-crystal BAW: high-band RF filters ; Opto electronics, Quartz (SiO2)https://www.digitimes.com/news/a20210128PD208.html","MEMS, RF Filters, Si, SOI, Quartz, glass, metal, Polyimides",0.5,6,6000,3375,26000,100,120000,2004,2003,2004,2004,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.akoustis.com/
Alphion Corporation - Princeton Junction,,晶圆制造工厂,"Alphion Corporation 的 Princeton Junction，位于 Princeton, New Jersey, 美国。",2196,晶圆厂，研发,In production,Princeton,New Jersey,美国,美洲,NA,196 Princeton Hightstown Road,http://www.alphion.com,光电器件/激光器及其他,光电器件,"integrated photonic components for signal regeneration, conditioning, wavelength management, and monitoring.",GaAs;,1,4,1000,250,,1000,,2001,2000,2001,2001,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.alphion.com
"Alps Electric Co., Ltd. - Nagaoka Plant",,晶圆制造工厂,"Alps Electric Co., Ltd. 的 Nagaoka Plant，位于 Nagaoka, Niigata, 日本。",3486,晶圆厂,In production,Nagaoka,Niigata,日本,日本,日本,"1-3-5, Higashitakami",http://www.alps.com/,MEMS,MEMS,"MEMS: pressure sensor, Magnetic Sensor, Geomagnetic Sensor; Digital compass,",MEMS,1,6,30000,16875,,,,1998,2006,2006,2006,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.alps.com/
Amphenol Advanced Sensors - Amphenol Advanced Sensors,,晶圆制造工厂,"Amphenol Advanced Sensors 的 Amphenol Advanced Sensors，位于 Fremont, California, 美国。",486,晶圆厂,in production,Fremont,California,美国,美洲,NA,1055 Mission Court,https://www.amphenol-sensors.com/en/,MEMS,MEMS,MEMS: Si-based pressure sensors,MEMS,3,4,2400,600,,10,,2000,1998,1999,2000,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.amphenol-sensors.com/en/
ams-OSRAM - AMS 200 (was ams AG),,晶圆制造工厂,"ams-OSRAM 的 AMS 200 (was ams AG)，位于 Premstaetten, Graz, 奥地利。",1684,晶圆厂,in production,Premstaetten,Graz,奥地利,Europe & Mideast,欧洲,Tobelbader Strasse 30,https://ams-osram.com/,Analog&Mixed Signal&Power,模拟,"Foundry; ASIC, analog IC, power management, sensors & sensor interfaces, portable audio and car access.","CMOS; HV-CMOS, BiCMOS; SiGe",0.18,8,15000,15000,39826,,161459,2002,2013,2013,2013,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - JTC NanoSpace (was ams AG),,晶圆制造工厂,"ams-OSRAM 的 JTC NanoSpace (was ams AG)，位于 新加坡, 新加坡, 新加坡。",4974,晶圆厂，研发,In production,新加坡,新加坡,新加坡,SE Asia,亚太,10 Tampines Industrial Cres,https://ams-osram.com/,光电器件/激光器及其他,光电器件,R&D and production of VCSEL (Vertical Cavity Surface-Emitting Lasers) and micro-optic sensors for state-of-the-art mobile applications,VCSEL (Vertical Cavity Surface-Emitting Lasers) and micro-optic sensors,3,6,5000,2812.5,48115,,,2019,2017,2018,2019,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
Analog Devices Inc - Limerick New Next Gen Fab,,晶圆制造工厂,"Analog Devices Inc 的 Limerick New Next Gen Fab，位于 Limerick, Munster, 爱尔兰。",6459,晶圆厂，研发,In production,Limerick,Munster,爱尔兰,Europe & Mideast,欧洲,"Bay F1, Raheen Business Park",http://www.analog.com,Analog&Mixed Signal&Power,模拟,"R&D and manufacturing to accelerate the digital transformation of Industrial, Automotive, Healthcare, and other sectors",,0.18,8,20000,20000,45000,,,2025,2024,2025,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Analog Devices Inc - Limerick,,晶圆制造工厂,"Analog Devices Inc 的 Limerick，位于 Limerick, Munster, 爱尔兰。",27,晶圆厂，研发,in production,Limerick,Munster,爱尔兰,Europe & Mideast,欧洲,"Bay F-1, Raheen Business Park",http://www.analog.com,Analog&Mixed Signal,模拟,"AD/DA converter, mixed signal ICs, RF ICs.",CMOS BiCMOS,0.18,8,42000,42000,,1,646000,1977,,2007,2007,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Analog Devices Inc - Wilmington,,晶圆制造工厂,"Analog Devices Inc 的 Wilmington，位于 Wilmington, Massachusetts, 美国。",1259,晶圆厂,in production,Wilmington,Massachusetts,美国,美洲,NA,804 Woburn Street,http://www.analog.com,Analog&Mixed Signal,模拟,"proprietary analog, mixed-signal, and MEMS manufacturing process technologies","Bipolar, MEMS",1,6,30000,16875,30000,100,586200,1967,1995,1996,1996,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Analog Devices Inc - Camas (was Linear Technologies),,晶圆制造工厂,"Analog Devices Inc 的 Camas (was Linear Technologies)，位于 Camas, Washington, 美国。",471,晶圆厂，研发,in production,Camas,Washington,美国,美洲,NA,4200 NW Pacific Rim Blvd,http://www.analog.com,Analog/Linear,模拟,"Linear, Analog/mixed signal, Discretes","CMOS, Bipolar",0.35,6,30000,16875,50000,10,105000,1997,1995,1996,1997,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Analog Devices Inc - Beaverton-Portland (was Maxim),,晶圆制造工厂,"Analog Devices Inc 的 Beaverton-Portland (was Maxim)，位于 Beaverton, Oregon, 美国。",523,晶圆厂，中试线,in production,Beaverton,Oregon,美国,美洲,NA,14320 Southwest Jenkins (Tektronix campus),http://www.analog.com,Analog&Mixed Signal,模拟,"analog, mixed-signal using 6- and 8-inch wafers","BCD (bipolar/CMOS/DMOS), BiCMOS, and Bipolar (SOI and SiGe).",0.18,8,44000,44000,118000,10,432000,1987,2004,2005,2005,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Analog Foundries - CSEC,,晶圆制造工厂,"Analog Foundries 的 CSEC，位于 Chongqing, Chongqing, 中国。",3899,晶圆厂,In production,Chongqing,Chongqing,中国,中国,亚太,"98, Xiyuan 2nd Rd.",http://www.analogfoundries.com/,代工/功率,分立器件,"Foundry: Analog, Power device,","Bipolar, CMOS, DMOS, BiCMOS, BCD",0.35,6,30000,16875,,,,2012,2010,2011,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analogfoundries.com/
Angstrem - Angstrem Plus (Fab 0) (basic),,晶圆制造工厂,"Angstrem 的 Angstrem Plus (Fab 0) (basic)，位于 Zelenograd, Moscow, 俄罗斯。",33,晶圆厂,in production,Zelenograd,Moscow,俄罗斯,Europe & Mideast,欧洲,"Ploshchad' Shokina, 2, стр. 3",http://www.angstrem.ru/english/,Foundry/IDM/Analog&Mixed Signal&Power,模拟,"Foundry; Analog, RD, Power management, high voltage devices","CMOS, BiCMOS, MOS",0.25,6,20000,11250,6500,100,860000,1965,2010,2011,2011,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.angstrem.ru/english/
Angstrem - Fab 1,,晶圆制造工厂,"Angstrem 的 Fab 1，位于 Zelenograd, Moscow, 俄罗斯。",32,晶圆厂,in production,Zelenograd,Moscow,俄罗斯,Europe & Mideast,欧洲,"Ploshchad' Shokina, 2, стр. 3",http://www.angstrem.ru/english/,Foundry/IDM/Analog&Mixed Signal&Power,模拟,"Foundry; Logic, Mixed Signal, embedded Flash, High Voltage","CMOS, BiCMOS",0.8,6,12000,6750,6500,1,860000,1996,1995,1996,1996,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.angstrem.ru/english/
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 1 (GPP)",,晶圆制造工厂,"Anhui Anxin Electronic Technology Co., Ltd. 的 Fab 1 (GPP)，位于 Chizhou, Anhui, 中国。",5010,晶圆厂,In production,Chizhou,Anhui,中国,中国,亚太,Economic and Technological Developmetn Zone,http://www.anhuianxin.com/,Discrete/Power,分立器件,"GPP (Glass Passivation Process) Rectifier diode, Fast recovery diodes",GPP (Glass Passivation Process),1,4,300000,75000,64584,,269100,2013,2012,2013,2013,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.anhuianxin.com/
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 2 (5inch)",,晶圆制造工厂,"Anhui Anxin Electronic Technology Co., Ltd. 的 Fab 2 (5inch)，位于 Chizhou, Anhui, 中国。",6609,晶圆厂,In production,Chizhou,Anhui,中国,中国,亚太,Economic and Technological Developmetn Zone,http://www.anhuianxin.com/,Discrete/Power,分立器件,,,1,5,300000,117187.5,,,,2024,2023,2024,2024,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.anhuianxin.com/
"Anhui Anxin Electronic Technology Co., Ltd. - Fab 3 (6inch line)",,晶圆制造工厂,"Anhui Anxin Electronic Technology Co., Ltd. 的 Fab 3 (6inch line)，位于 Chizhou, Anhui, 中国。",6610,晶圆厂,In production,Chizhou,Anhui,中国,中国,亚太,Economic and Technological Developmetn Zone,http://www.anhuianxin.com/,Discrete/Power,分立器件,,,1,6,50000,28125,,,,2026,2024,2025,2026,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.anhuianxin.com/
Anhui RiChips - Hefei fab,,晶圆制造工厂,"Anhui RiChips 的 Hefei fab，位于 Hefei, Anhui, 中国。",4957,晶圆厂,In production,Hefei,Anhui,中国,中国,亚太,"503, Xiangpu Rd.",http://www.richips.com.cn/,Discrete/Power,分立器件,"TSV, TSS, Thyristor, Zener",,1,5,40000,15625,,,258330,2017,2015,2017,2017,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.richips.com.cn/
Anhui YOFC Advanced Semiconductor (YASC) - Wuhan Fab,,晶圆制造工厂,"Anhui YOFC Advanced Semiconductor (YASC) 的 Wuhan Fab，位于 Wuhan, Hubei, 中国。",6645,晶圆厂,In production,Wuhan,Hubei,中国,中国,亚太,8. Gaoxin 7 Road. E,https://www.yascsemi.com/en/,Discrete/Power,Discrete,SiC devices,SiC,0.35,6,30000,16875,,,,2025,2023,2025,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.yascsemi.com/en/
Anhui YOFC Advanced Semiconductor (YASC) - Wuhu Fab,,晶圆制造工厂,"Anhui YOFC Advanced Semiconductor (YASC) 的 Wuhu Fab，位于 Wuhu, Anhui, 中国。",6646,晶圆厂，中试线，研发,In production,Wuhu,Anhui,中国,中国,亚太,No. 82. Limin East Road,https://www.yascsemi.com/en/,Discrete/Power,Discrete,,SiC,0.35,6,5000,2812.5,,,,2023,2021,2023,2023,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.yascsemi.com/en/
AOS - Jireh Semiconductor,,晶圆制造工厂,"AOS 的 Jireh Semiconductor，位于 Hillsboro, Oregon, 美国。",370,晶圆厂，研发,in production-may be for sale,Hillsboro,Oregon,美国,美洲,NA,3131 Ne Brookwood Pkwy,http://www.aosmd.com/,Discrete/Power,Discrete,"Power ICs, TVS, MOSFETs, IGBTs",CMOS,0.18,8,24000,24000,48000,1,245000,1996,,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aosmd.com/
AOS - Chongqing fab (phase 2),,晶圆制造工厂,"AOS 的 Chongqing fab (phase 2)，位于 Chongqing, Chongqing, 中国。",5064,晶圆厂,Planned,Chongqing,Chongqing,中国,中国,亚太,Liang Jiang New Area,http://www.aosmd.com/,Discrete/Power,Discrete,"Power semiconductors, Power ICs, TVS, MOSFETs, IGBTs",,0.09,12,30000,67500,,,,2027,2026,2027,2027,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aosmd.com/
AOS - Chongqing fab (phase 1),,晶圆制造工厂,"AOS 的 Chongqing fab (phase 1)，位于 Chongqing, Chongqing, 中国。",3896,晶圆厂,In production,Chongqing,Chongqing,中国,中国,亚太,Liang Jiang New Area,http://www.aosmd.com/,Discrete/Power,Discrete,"Power semiconductors, Power ICs, TVS, MOSFETs, IGBTs",HV,0.09,12,20000,45000,,,,2019,2017,2019,2019,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aosmd.com/
Aosong Electronics (ASAIR) - Chongqing 200mm fab,,晶圆制造工厂,"Aosong Electronics (ASAIR) 的 Chongqing 200mm fab，位于 Chongqing, Chongqing, 中国。",6225,晶圆厂,In production,Chongqing,Chongqing,中国,中国,亚太,"No. 5-72, Yunhan Avenue",http://www.aosong.com/,MEMS,MEMS,"MEMS sensor, Gas sensor, Flow sensor, MEMS foundry, temperature and humidity, differential pressure, wind speed and other sensor chips",,0.35,8,30000,30000,,,,2025,2023,2024,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aosong.com/
Aosong Electronics (ASAIR) - MEMS fab (Phase 1 + 2),,晶圆制造工厂,"Aosong Electronics (ASAIR) 的 MEMS fab (Phase 1 + 2)，位于 Guangzhou, Guangdong, 中国。",6179,晶圆厂,In production,Guangzhou,Guangdong,中国,中国,亚太,"17 Yunjun Rd., Huangpu District,",http://www.aosong.com/,MEMS,MEMS,"MEMS sensor, Gas sensor, Flow sensor, MEMS foundry, temperature and humidity, differential pressure, wind speed and other sensor chips",,0.5,6,40000,22500,26910,,,2020,2019,2020,2020,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aosong.com/
Asahi Kasei Microdevices (AKM) - Fab 1,,晶圆制造工厂,"Asahi Kasei Microdevices (AKM) 的 Fab 1，位于 Nobeoka, Miyazaki, 日本。",37,晶圆厂,in production,Nobeoka,Miyazaki,日本,日本,日本,"1-15, Nakashima-cho",http://www.akm.com/,MEMS,MEMS,"MEMS Sensors like Hall Sensors (magnetic sensors): Hall Effect Ics; Linear Hall ICs (fixed magnetic sensitivity); Hall Elements (GaAs, InAs, InSb); Infrared Sensors; Magnetic Sensors; Rotary Postion Sensors; Electronic compass using (3-axis using Hall technology)",Hall Sensor,2,4,35000,8750,47700,1,,1980,1979,1980,1980,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.akm.com/
"Asahi Kasei Microdevices (AKM) - Fab 2 (8"" line)",,晶圆制造工厂,"Asahi Kasei Microdevices (AKM) 的 Fab 2 (8"" line)，位于 Nobeoka, Miyazaki, 日本。",2894,晶圆厂,In production,Nobeoka,Miyazaki,日本,日本,日本,"5-4960, Nakagawara-Cho",http://www.akm.com/,Analog&Mixed Signal&Power,Analog,"Logic, Driver Ics, Power management Ics, Mixed signal, Amplifiers, Memory",CMOS; GaAs; InAs; SOI,0.18,8,23000,23000,,1,,2004,2003,2004,2004,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.akm.com/
Asahi Kasei Microdevices (AKM) - Fab 3,,晶圆制造工厂,"Asahi Kasei Microdevices (AKM) 的 Fab 3，位于 Fuji, Shizuoka, 日本。",3635,晶圆厂,In production,Fuji,Shizuoka,日本,日本,日本,"2-1 Samejima,",http://www.akm.com/,MEMS,MEMS,"MEMS Sensors like Hall sensors and compund semiconductors (GaAs, InAs, InSb); Hall Elements (GaAs, InAs, InSb)","Hall sensors, CMOS, GaAs, InAs, InSb, SOI",0.8,6,8000,4500,,,,2006,2005,2006,2006,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.akm.com/
"Asahi Kasei Microdevices (AKM) - Fab 2 (6"" line)",,晶圆制造工厂,"Asahi Kasei Microdevices (AKM) 的 Fab 2 (6"" line)，位于 Nobeoka, Miyazaki, 日本。",3656,晶圆厂,On hold,Nobeoka,Miyazaki,日本,日本,日本,"5-4960, Nakagawara-Cho",http://www.akm.com/,Analog&Mixed Signal&Power,Analog,"Amplifiers, Driver Ics, Power management Ics, Converters","CMOS,GaAs; InAs; SOI",0.18,6,18000,10125,,,,1998,1997,1998,1998,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.akm.com/
"Asia Pacific Microsystems, Inc.  (APM) - Fab 1",,晶圆制造工厂,"Asia Pacific Microsystems, Inc.  (APM) 的 Fab 1，位于 Hsinchu, Northern Taiwan, 中国台湾。",1203,晶圆厂,In production,Hsinchu,Northern Taiwan,中国台湾,中国台湾,亚太,"No. 2 R&D Road 5, Hsinchu Science Industrial Park",http://www.apmsinc.com,代工/MEMS,MEMS,"MEMS: Optical sensor, Inkjet chip, pressure sensor.","CMOS, MEMS",0.5,6,12000,6750,27000,10,177605,1988,1987,1988,1988,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.apmsinc.com
Atomica (was IMT Innovative Micro Technology) - 6-inch line,,晶圆制造工厂,"Atomica (was IMT Innovative Micro Technology) 的 6-inch line，位于 Santa Barbara, California, 美国。",1903,晶圆厂，研发,in production,Santa Barbara,California,美国,美洲,NA,75 Robin Hill Road,https://atomica.com/,代工/MEMS,MEMS,"Foundry; Optical MEMS (micro mirrors) and Photonics (lasers), Microfluidics, RF MEMS, offering also TSV, WLP;  biochips, IMUs, biosensors, MOEMS, accelerometers, gyroscopes","SOI, MEMS",0.35,6,4000,2250,20000,100,130000,2000,1999,2000,2000,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://atomica.com/
Atomica (was IMT Innovative Micro Technology) - 8-inch line,,晶圆制造工厂,"Atomica (was IMT Innovative Micro Technology) 的 8-inch line，位于 Santa Barbara, California, 美国。",5027,晶圆厂，中试线,In production,Santa Barbara,California,美国,美洲,NA,75 Robin Hill Road,https://atomica.com/,代工/MEMS,MEMS,"Foundry (pure play foundry); Optical MEMS (micro mirrors) and Photonics (lasers), Microfluidics, RF MEMS, offering also TSV, WLP;  biochips, IMUs, biosensors, MOEMS, accelerometers, gyroscopes","MEMS, SOI",0.35,8,2000,2000,10000,10,,2018,2018,2018,2018,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://atomica.com/
AUK Corporation - A 2,,晶圆制造工厂,"AUK Corporation 的 A 2，位于 Iksan, Jeollabuk, 韩国。",2136,晶圆厂,In production,Iksan,Jeollabuk,韩国,韩国,亚太,802-12 Shinhung-Dong,https://www.auk.co.kr/,Discrete/Power,Discrete,"Discrete/Power, Analog IC, RF, LED, Opitcal Sensors, LDM Modules","MOS, BiPolar, III-V: SiGe, GaN, SiC",1,6,20000,11250,,,,2000,1999,2000,2000,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.auk.co.kr/
AUK Corporation - D1 and D2 Lines,,晶圆制造工厂,"AUK Corporation 的 D1 and D2 Lines，位于 Dalian, Liaoning, 中国。",2137,晶圆厂,In production-merged,Dalian,Liaoning,中国,中国,亚太,"Tieshan West Road No41, Shiligang",https://www.auk.co.kr/,MEMS/Opto,MEMS,"RF, Opto Sensors","CMOS, BiPolar, III-V: SiGe, GaN, SiC",1,5,20000,7812.5,,,,2004,2003,2004,2004,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.auk.co.kr/
