nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Advanced Packaging Center,,研发中试工厂,"A-STAR IME (Institute of Microelectronics) (A*STAR IME) 的 Advanced Packaging Center，位于 新加坡, 新加坡, 新加坡。",3499,研发,In production,新加坡,新加坡,新加坡,SE Asia,亚太,"10 Science Park Rd, #1-01B",http://www.ime.a-star.edu.sg/,代工/研发,Other,"3D IC packaging, TSV / TSI for Wafer Level Pakcagin (WLP)","Wafer Level Packaging, 3D IC",,12,,,15382,10,,2012,,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.ime.a-star.edu.sg/
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 1,,研发中试工厂,"A-STAR IME (Institute of Microelectronics) (A*STAR IME) 的 Cleanroom 1，位于 新加坡, 新加坡, 新加坡。",2339,研发,In production,新加坡,新加坡,新加坡,SE Asia,亚太,11 Science Park Road,http://www.ime.a-star.edu.sg/,代工/研发,Other,"CMOS and Si-based MEMS, PiezoMEMS, RF passive components, RF-mmm Wave GaN, Sic, Si-Photonics and sensors, Bio devices, Nano devices fabrication capabilities.","CMOS, MEMS, RF, GaN, SiC, Photonics",0.13,8,500,500,16146,10,,1995,1993,1995,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.ime.a-star.edu.sg/
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 2 (MEMS & Wafer Level Packaging),,研发中试工厂,"A-STAR IME (Institute of Microelectronics) (A*STAR IME) 的 Cleanroom 2 (MEMS & Wafer Level Packaging)，位于 新加坡, 新加坡, 新加坡。",2340,研发,In production,新加坡,新加坡,新加坡,SE Asia,亚太,11 Science Park Road,http://www.ime.a-star.edu.sg/,代工/研发,Other,MEMS devices and Wafer level packaging,MEMS and MEMS Packaging,1,8,100,100,4306,100,,1995,1993,1995,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.ime.a-star.edu.sg/
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Open R&D 200mm SiC,,研发中试工厂,"A-STAR IME (Institute of Microelectronics) (A*STAR IME) 的 Open R&D 200mm SiC，位于 新加坡, 新加坡, 新加坡。",6659,研发，中试线,In production,新加坡,新加坡,新加坡,SE Asia,亚太,6 Fusionopolis Way,http://www.ime.a-star.edu.sg/,代工/研发,Other,wide bandgap semiconductor research and address the future demands for high-power applications using SiC.,"SiC, MOSFET",0.13,8,1000,1000,,,,2025,2024,2025,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.ime.a-star.edu.sg/
"Bipolarics, Inc. - N/A",,研发中试工厂,"Bipolarics, Inc. 的 N/A，位于 Fremont, California, 美国。",74,Pilot,in production,Fremont,California,美国,美洲,NA,46766 Lakeview Blvd.,http://www.bipolarICs.com,Pilot,Other,Discretes RF IC,Bipolar,0.5,4,2150,537.5,,,,1990,1988,1994,1994,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.bipolarICs.com
BRIDG - BRIDG (used also by Skywater),,研发中试工厂,"BRIDG 的 BRIDG (used also by Skywater)，位于 Kissimmee, Florida, 美国。",3716,研发，中试线,In production,Kissimmee,Florida,美国,美洲,NA,"251 Fowler Blvd, Osceola County",https://gobridg.com/,代工/研发,Other,"Advanced Systems Integration & Packaging (Think 2.5/3D chip integration including TSVs, RDLs, interposers, bumping, and copper pillars); wafers supporting analog based devices using materials such as Cu, Au, deep Si etch, lithography); III-V epitaxy (GaAs and InP)","III-V materials, Graphene, Carbon Nanotubes (CNT), GaAs, InP, InGaAs",0.35,8,2500,2500,35900,100,109000,2018,2014,2018,2018,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://gobridg.com/
Brookhaven National Laboratory (BNL) - Center for Functional Nanomaterials  CFN,,研发中试工厂,"Brookhaven National Laboratory (BNL) 的 Center for Functional Nanomaterials  CFN，位于 Upton, New York, 美国。",3575,研发,In production,Upton,New York,美国,美洲,NA,"Brookhaven Avenue, Building 735",http://www.bnl.gov/cfn,研发,Other,nanoscience and nanotechnology research,,0.01,4,250,62.5,5000,100,80000,2000,2006,2007,2008,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.bnl.gov/cfn
Calogic Corporation - N/A,,研发中试工厂,"Calogic Corporation 的 N/A，位于 Fremont, California, 美国。",84,Pilot,in production,Fremont,California,美国,美洲,NA,237 Whitney Place,http://www.caLogic.com,Discrete/Power,Discrete,"Power, Discrete, MOSFETs, JFET Diodes, Buffers, Amplifiers, Analog ASIC",Bipolar MOS,3,4,3600,900,5000,100,,1985,1983,1985,1985,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.caLogic.com
Canadian Photonics Fabrication Centre (CPFC) - CPFC,,研发中试工厂,"Canadian Photonics Fabrication Centre (CPFC) 的 CPFC，位于 Ottawa, Ontario, 加拿大。",3145,研发,In production,Ottawa,Ontario,加拿大,美洲,NA,1200 Montreal Road,http://www.nrc-cnrc.gc.ca/eng/facilities/cpfc/fabrication.html,代工/研发,Other,"Foundry Services/R&D (III-V, Silicon/SOI, New materials) for photonics, EPI","B-Silicate, Si, SOI, New materials, III-V: GaAs, InP, SiC",0.15,6,200,112.5,11000,100,40000,2005,2003,2004,2005,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.nrc-cnrc.gc.ca/eng/facilities/cpfc/fabrication.html
Canon - Hiratsuka R&D,,研发中试工厂,"Canon 的 Hiratsuka R&D，位于 Hiratsuka, Kanagawa, 日本。",86,研发,in production,Hiratsuka,Kanagawa,日本,日本,日本,"22-5, Tamura 9-chome",http://www.canon.com,MEMS/Opto,MEMS,"MEMS Micro Display, CMOS image sensors","CMOS, MEMS Micro Display",0.5,5,2000,781.25,,,,1981,1980,1981,1981,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.canon.com
Canon - Kawasaki works,,研发中试工厂,"Canon 的 Kawasaki works，位于 Kawasaki, Kanagawa, 日本。",3839,研发,In production,Kawasaki,Kanagawa,日本,日本,日本,"70-1, Yanagicho, Saiwai-ku,",http://www.canon.com,光电器件/激光器及其他,Opto,R&D for semiconductor devices and CMOS image sensors,,0.065,12,1000,2250,,,,2008,2007,2008,2008,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.canon.com
Canon - Kawasaki new 12inch R&D Fab,,研发中试工厂,"Canon 的 Kawasaki new 12inch R&D Fab，位于 Kawasaki, Kanagawa, 日本。",6507,研发,In production,Kawasaki,Kanagawa,日本,日本,日本,"70-1, Yanagicho, Saiwai-ku,",http://www.canon.com,Opto/Image Sensors,Opto,,CMOS,0.04,12,1000,2250,,,,2024,2022,2024,2024,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.canon.com
Central Vocational Training Center (CVTC) - Fab 1,,研发中试工厂,"Central Vocational Training Center (CVTC) 的 Fab 1，位于 Taichung, Central Taiwan, 中国台湾。",2142,研发,In production,Taichung,Central Taiwan,中国台湾,中国台湾,亚太,"No.100, Gongyecyu 1st Rd., Situn District",http://www.cvtc.gov.tw/,研发,Other,,CMOS,0.18,8,50,50,,10000,,2003,2002,2003,2003,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.cvtc.gov.tw/
China Electronics Technology Group Corporation (CETC) - 13th Research Institute,,研发中试工厂,"China Electronics Technology Group Corporation (CETC) 的 13th Research Institute，位于 Shijiazhuang, Hebei, 中国。",3794,研发，中试线,In production,Shijiazhuang,Hebei,中国,中国,亚太,"113, Hezuo rd,",http://www.cetc.com.cn/,MEMS,MEMS,MEMS: SOI MEMS,"SOI, MEMS",1,6,1000,562.5,,,,2010,,2010,2010,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.cetc.com.cn/
CrayoNano AS - CrayoNano,,研发中试工厂,"CrayoNano AS 的 CrayoNano，位于 Trondheim, Trøndelag, Norway。",3787,研发,In production,Trondheim,Trøndelag,Norway,Europe & Mideast,欧洲,"Otto Nielsens veg 12, 7052",,光电器件/LED,Opto,"UV LED, III-V nanowires grown on graphene","III-V, AlGaN, Graphene",2,2,500,31.25,,,,2014,2013,2014,2014,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
Denso Corporation - Denso Research,,研发中试工厂,"Denso Corporation 的 Denso Research，位于 Nisshin, Aichi, 日本。",2176,研发,In production,Nisshin,Aichi,日本,日本,日本,"500-1, Minamiyama, Komenoki-cho",http://www.globaldenso.com/en/,Logic/Other,Logic&Micro,"R&D(semiconductors, information and communications systems)","CMOS, BiCMOS",0.13,6,500,281.25,,,,1991,2011,2012,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.globaldenso.com/en/
ERSO - N/A,,研发中试工厂,"ERSO 的 N/A，位于 Hsinchu, Northern Taiwan, 中国台湾。",1772,研发,in production,Hsinchu,Northern Taiwan,中国台湾,中国台湾,亚太,195 Chung Hsing Rd. Sec.4 Chu Tung,,研发,Other,"R&D MRAM, MRAM production at TSMC. R&D (Cu process)","CMOS, Cu , MRAM",0.18,8,12000,12000,,,,1996,1994,1996,1996,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
ETRI - Compound/R&D,,研发中试工厂,"ETRI 的 Compound/R&D，位于 Daejeon, Daejeon, 韩国。",153,研发,in production,Daejeon,Daejeon,韩国,韩国,亚太,"218 Gajeong-ro, Yuseong-gu",http://www.etri.re.kr/eng/,研发,Other,"DRAM, Application Specific IC, III-V: GaAs","CMOS, III-V: GaAs",0.5,6,1000,562.5,,100,,1981,1980,1981,1981,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.etri.re.kr/eng/
Ferdinand-Braun-Institut fur Hochfrequenztechnik - FBH,,研发中试工厂,"Ferdinand-Braun-Institut fur Hochfrequenztechnik 的 FBH，位于 Berlin, Berlin, 德国。",2823,研发,In production,Berlin,Berlin,德国,Europe & Mideast,欧洲,Gustav-Kirchhoff Str. 4,www.fbh-berlin.com,研发,Other,"Laser diodes, microwave diodes, EPI","GaAs, GaN, Si SiC, glass and other",0.25,4,250,62.5,8600,,,1995,1993,1994,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
FLCT Communication Technology - Fab 1 (Pilot and R&D),,研发中试工厂,"FLCT Communication Technology 的 Fab 1 (Pilot and R&D)，位于 Guangzhou, Guangdong, 中国。",6647,研发，中试线,In production,Guangzhou,Guangdong,中国,中国,亚太,"Floors 1-3, Building 1, Jingguang Collaborative Innovation",https://www.sabaw.cn/sy,Discrete/Rectifier,Discrete,,BAW,0.5,6,3000,1687.5,,,,2022,2021,2022,2022,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.sabaw.cn/sy
Fluke Corporation - N/A,,研发中试工厂,"Fluke Corporation 的 N/A，位于 Everett, Washington, 美国。",433,研发，中试线,in production,Everett,Washington,美国,美洲,NA,"6920 Seaway Blvd, P.O. Box 9090",http://www.fluke.com,R&D-Pilot,Other,ASIC,CMOS BiCMOS,2,4,1400,350,9500,10,,1981,1979,1981,1981,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.fluke.com
Fraunhofer FEP/COMEDD - OLED ORR (Building 3) Fraunhofer,,研发中试工厂,"Fraunhofer FEP/COMEDD 的 OLED ORR (Building 3) Fraunhofer，位于 Dresden, Saxony, 德国。",3807,研发，中试线,In production,Dresden,Saxony,德国,Europe & Mideast,欧洲,Maria-Recihe Str 2,http://www.comedd.fraunhofer.de/en.html,光电器件/激光器及其他,Opto,"OLED lighting (OLED - organic light-emitting diodes), organic solar cells, OLED microdisplays, optical sensors, integrated circuits, organic materials and microsystems.",OLED,2,6,500,281.25,,,,1990,,2008,2008,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.comedd.fraunhofer.de/en.html
Fraunhofer Institute for Applied Solid State Physics IAF - GaAs/GaN lab Fraunhofer,,研发中试工厂,"Fraunhofer Institute for Applied Solid State Physics IAF 的 GaAs/GaN lab Fraunhofer，位于 Freiburg, Baden-Württemberg, 德国。",3903,研发,In production,Freiburg,Baden-Württemberg,德国,Europe & Mideast,欧洲,Tullastrasse 72,https://www.iaf.fraunhofer.de/en.html,研发,Other,"Optoelectronics, III-V, GaN (3-inch), GaAs (4-inch)","Optoelectronics, III-V, GaN (3-inch), GaAs (4-inch)",20,4,170,42.5,8611,,,1980,1977,1979,1979,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.iaf.fraunhofer.de/en.html
Fraunhofer Institute for Integrated Systems and Device Technology - FhG (IISB) Fraunhofer,,研发中试工厂,"Fraunhofer Institute for Integrated Systems and Device Technology 的 FhG (IISB) Fraunhofer，位于 Erlangen, Bavaria, 德国。",3527,研发,In production,Erlangen,Bavaria,德国,Europe & Mideast,欧洲,Schottkystrasse 10,www.iisb.fraunhofer.de,研发,Other,platform for equipment suppliers to test their equipment in a cleanroom environment,"CMOS, III-V",,8,,,5651,3,50860,1995,1993,1995,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Fraunhofer Institute for Integrated Systems and Device Technology - LEB Fraunhofer,,研发中试工厂,"Fraunhofer Institute for Integrated Systems and Device Technology 的 LEB Fraunhofer，位于 Erlangen, Bavaria, 德国。",3528,研发,In production,Erlangen,Bavaria,德国,Europe & Mideast,欧洲,Schottkystrasse 10,www.iisb.fraunhofer.de,研发,Other,focus is mainly on power electronics and MEMS technology,"CMOS, SiC, III-V",0.8,8,200,200,10764,4,18299,1992,1990,1992,1992,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Fraunhofer Institute for Microelectronic Circuits and Systems - CMOS Factory Fraunhofer,,研发中试工厂,"Fraunhofer Institute for Microelectronic Circuits and Systems 的 CMOS Factory Fraunhofer，位于 Duisburg, Nordrhein-Westfalen, 德国。",3900,研发，中试线,In production,Duisburg,Nordrhein-Westfalen,德国,Europe & Mideast,欧洲,Finkenstr.61,https://www.ims.fraunhofer.de,Analog&Mixed Signal,Analog,mixed signal circuits for Application Specific ICs ; circuits in the area of sensors and sensor readout for industrial applications.,"CMOS,",0.35,8,5800,5800,14000,10,,1985,1983,1985,1985,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ims.fraunhofer.de
Fraunhofer Institute for Microelectronic Circuits and Systems - MST Lab: Microsystems Technology Lab&Fab Fraunhofer,,研发中试工厂,"Fraunhofer Institute for Microelectronic Circuits and Systems 的 MST Lab: Microsystems Technology Lab&Fab Fraunhofer，位于 Duisburg, Nordrhein-Westfalen, 德国。",3901,研发,In production,Duisburg,Nordrhein-Westfalen,德国,Europe & Mideast,欧洲,Finkenstrasse 61,https://www.ims.fraunhofer.de,MEMS,MEMS,MEMS: post-processing on CMOS to develop production processes and complete intelligent microsystems for our customers.,"CMOS, MEMS",0.35,8,420,420,6458,10,,2009,2007,2009,2009,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ims.fraunhofer.de
Fraunhofer Institute for Photonic Microsystems IPMS - Center Nanoelectronics Technologies (CNT),,研发中试工厂,"Fraunhofer Institute for Photonic Microsystems IPMS 的 Center Nanoelectronics Technologies (CNT)，位于 Dresden, Saxony, 德国。",6198,研发，中试线,In production,Dresden,Saxony,德国,Europe & Mideast,欧洲,An der Bartlake 5,www.ipms.fraunhofer.de,R&D-Pilot,Other,"Nanotechnology and High-K Devices:  Non-Volatile Memories (NVM): FRAM, RRAM, STT-MRAM, FeFET, Flash; Low Power CMOS; Sensor MEMS 300 mm, On-Chip Power Plant","CMOS, Low Power CMOS, Non-Volatile Memories (NVM): Sensor MEMS' High-K (HfO2, ZrO2, Ta2O5)",0.028,12,2000,4500,8610,6,,2020,2020,2020,2020,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Fudan University - School of Microelectronics - IC Process Lab,,研发中试工厂,"Fudan University - School of Microelectronics 的 IC Process Lab，位于 Shanghai, Shanghai, 中国。",167,研发,in production,Shanghai,Shanghai,中国,中国,亚太,"220 Handan Road, Handan Campus",http://sme.fudan.edu.cn/en/about/index.htm,研发,Other,Logic,MOS,0.5,4,4000,1000,5382,100,35521,1995,1993,1995,1995,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://sme.fudan.edu.cn/en/about/index.htm
Fuji Electric - Development Center,,研发中试工厂,"Fuji Electric 的 Development Center，位于 Matsumoto, Nagano, 日本。",3815,研发，中试线,In production,Matsumoto,Nagano,日本,日本,日本,"18-1, Tsukama 4-chome",http://www.fujielectric.co.jp/eng/fdt/,Discrete/Power,Discrete,Using SiC,"SiC, EPI",0.15,8,1500,1500,,,,2015,2014,2015,2015,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.fujielectric.co.jp/eng/fdt/
Fujian Sunwise - Sunwise Fab1 (R&D),,研发中试工厂,"Fujian Sunwise 的 Sunwise Fab1 (R&D)，位于 Longyan, Fujian, 中国。",6566,研发,In production,Longyan,Fujian,中国,中国,亚太,"No. 8 Yanjiang North Road, Industrial Zone, Huangzhu Village, Lincheng Town, Shanghang County",,研发,Other,,GaN,,2,3000,187.5,,,,2022,2021,2022,2022,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
GE - Research - Microfabrication (VLSI + PSF) (was VLSI),,研发中试工厂,"GE - Research 的 Microfabrication (VLSI + PSF) (was VLSI)，位于 Schenectady, New York, 美国。",204,研发,In production-merged,Schenectady,New York,美国,美洲,NA,1 Old River Rd,,MEMS/R&D,MEMS,"Wide Bandgap devices, MEMS and Packaging, smart power, custom CID (Charge Injection Device ) Imagers LCD Hi-Density Interconnect","CMOS, MEMS",1.25,4,2240,560,18000,100,,1983,1981,1983,1983,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
