nameCn,nameEn,objectTypeName,description,source_url
TOWA Corporation,,公司,TOWA Corporation verified as supplier for TOWA Y1E-Series.,https://www.towajapan.co.jp/en/products/molding/y1e/
"Tokyo Ohka Kogyo Co., Ltd.",,公司,"Official source confirms Tokyo Ohka Kogyo Co., Ltd. product portfolio.",https://www.tok.co.jp/eng/products/semiconductor-pre
Merck KGaA,,公司,Official source confirms Merck KGaA product portfolio.,https://www.merckgroup.com/en/expertise/electronics/technologies/specialty-gases.html
Air Liquide S.A.,,公司,Official source confirms Air Liquide S.A. product portfolio.,https://electronics.airliquide.com/specialty-gases
"Entegris, Inc.",,公司,"Official source confirms Entegris, Inc. product portfolio.",https://www.entegris.com/en/home/products/chemistries/specialty-chemicals.html
"DuPont de Nemours, Inc.",,公司,"Official source confirms DuPont de Nemours, Inc. product portfolio.",https://www.dupont.com/electronics-industrial/cmp-slurries.html
"Toppan Photomask Co., Ltd.",,公司,"Official source confirms Toppan Photomask Co., Ltd. product portfolio.",https://www.photomask.com/products/
"Dai Nippon Printing Co., Ltd.",,公司,"Official source confirms Dai Nippon Printing Co., Ltd. product portfolio.",https://www.global.dnp/products/detail/10159334_4126.html
JX Advanced Metals Corporation,,公司,Official source confirms JX Advanced Metals Corporation product portfolio.,https://www.jx-nmm.com/english/products/functional/sputtering_target/
Materion Corporation,,公司,Official source confirms Materion Corporation product portfolio.,https://materion.com/products/thin-film-materials/sputtering-targets
Coherent Corp.,,公司,Official source confirms Coherent Corp. product portfolio.,https://www.coherent.com/materials/silicon-carbide-substrates
Soitec S.A.,,公司,Official source confirms Soitec S.A. product portfolio.,https://www.soitec.com/en/products/gan
Absolics Inc.,,公司,Official source confirms Absolics Inc. product portfolio.,https://absolics.com/
"Mitsubishi Gas Chemical Company, Inc.",,公司,"Official source confirms Mitsubishi Gas Chemical Company, Inc. product portfolio.",https://www.mgc.co.jp/eng/rd/technology/bt.html
"Shinko Electric Industries Co., Ltd.",,公司,"Official source confirms Shinko Electric Industries Co., Ltd. product portfolio.",https://www.shinko.co.jp/english/product/package/substrate/pbga.php
ams OSRAM AG,,公司,Official source confirms ams OSRAM AG product portfolio.,https://ams-osram.com/products/leds
Hamamatsu Photonics K.K.,,公司,Official source confirms Hamamatsu Photonics K.K. product portfolio.,https://www.hamamatsu.com/us/en/product/optical-sensors/photodiodes.html
Diodes Incorporated,,公司,Official source confirms Diodes Incorporated product portfolio.,https://www.diodes.com/part/view/SD05C
"Littelfuse, Inc.",,公司,"Official source confirms Littelfuse, Inc. product portfolio.",https://www.littelfuse.com/products/sidactor-protection-thyristors.aspx
"Analog Devices, Inc.",,公司,"Official source confirms Analog Devices, Inc. product portfolio.",https://www.analog.com/en/product-category/rf-microwave.html
"Advanced Micro Devices, Inc.",,公司,"Official source confirms Advanced Micro Devices, Inc. product portfolio.",https://www.amd.com/en/products/adaptive-socs-and-fpgas/soc/zynq-7000.html
Altera Corporation,,公司,Official source confirms Altera Corporation product portfolio.,https://www.altera.com/fpga
"Marvell Technology, Inc.",,公司,"Official source confirms Marvell Technology, Inc. product portfolio.",https://www.marvell.com/products/custom-asic.html
Broadcom Inc.,,公司,Official source confirms Broadcom Inc. product portfolio.,https://www.broadcom.com/products/custom-silicon
Robert Buerkle GmbH,,公司,Official source confirms Robert Buerkle GmbH product portfolio.,https://www.burkle.tech/us-en/applications/laminators/laminating-and-pressing-lines-for-pcbs
The French Oil Mill Machinery Company,,公司,Official source confirms The French Oil Mill Machinery Company product portfolio.,https://frenchoil.com/products/hydraulic-presses/lamination/pcb/
Schmoll Maschinen GmbH,,公司,Official source confirms Schmoll Maschinen GmbH product portfolio.,https://www.schmoll-maschinen.de/solutions/mechanical-microdrilling/high-end-and-back-drill
Mycronic AB,,公司,Official source confirms Mycronic AB product portfolio.,https://www.mycronic.com/product-areas/bare-board-testing/
